seeds: 141812878 853583433 69532151 734372491 182396959 4723992392 8947211973 5 4238233746 414976297 3674819199 51868842

seed-to-soil map:
47738968 98357 182795944
7626588292 7848955494 927588242
34324971 6812781938 837374212
2166766538 726174459 6843311291
239754864 684391 555585341
418284536 8839949654 642749254
9423585483 8225843682 329442345
8712565737 9399753119 5
74289536 9359574415 717691786

soil-to-fertilizer map:
8986393527 4888517941 585279262
7613871113 9877446651 84269233
2423271674 7586366221 7659569
3622861142 916381775 74546981
3996339781 3244535459 98765225
586791635 8419253759 59179897
7576358959 6127297299 519542837
7876479671 6556651697 2721518
8412917365 865866259 75627132
8919467753 2818783878 5
4729257824 8988777624 275397538
2626168725 5 375375337
7963626731 8731755354 562155822
4484955989 2 31166388
6394952326 9434564563 344217764
5818263571 8292867479 46133627
6635767943 663896613 39649384
1179179943 58595967 326966131
461712455 2756694296 566766331
267854195 942359332 92191415
1676162127 2415173728 7527572
8235458679 517558444 8481131
2193675972 5252589743 48214883
4312181391 5588755717 5725572
451918428 7726618552 39256967
4734828421 378251365 56849366
7864169188 795712941 852726511
6498165846 819955597 825591722
6737759128 1943367748 153632389
81836871 3619315963 5999745237
5533126476 1625724578 11196339
814358688 9878499637 982477257
4386394269 3737453299 68828912
1 535278815 55
9455234351 63518366 96697897
298142454 9711262844 545237968
6548387663 5498764299 556695254
4421182848 3813437218 18532535

fertilizer-to-water map:
5188185212 713592736 572122634
3996516993 8368372653 29257663
7629744559 8723951436 36722366
517117434 6799613578 62912912
7444887598 1378359775 142239913
8946622323 461231638 98648353
895954325 5555555 419161656
1269235415 8199792497 62639226
277191562 35368196 783296989
2994552458 6347418557 828619684
7 245618496 85983123
599564274 6975655213 441448691
7312274117 4916534261 32238555
444977452 8543586232 53382156
682172835 2567878724 62974419
8912874438 5539912916 51886594
4257175799 1517431879 97672792
9481282796 996563263 8713257
8269679713 2281488697 77222754
2566468873 4747453236 37516457
9491212658 1459322382 56814988
142239541 25962654 99568155
3475998687 9 537527222
7223664422 4413723656 2795999379
5781744284 5851593946 52411132
2615616119 2198338791 93894182
725796923 6293593866 672373647
5291123587 1 45165371

water-to-light map:
9483826148 971239373 57981779
866572267 5355262121 658481698
6149496513 2245492751 89485475
7743881746 5949772182 31781539
915838939 73797715 9628255536
49687174 729495672 53487321
1774464825 4513912578 89436881
734978995 62382679 39621782
8579142462 9 79959373
3999434125 1722538882 315735941
9758171681 5256942648 79846743
676724382 222319917 43462458
9842566327 2265547154 99978196
3885113248 6341877917 53731483
7451763582 1 22747236
2222665944 8558249644 858131997
2222613482 1369627666 23224913
2122417343 892313426 54167146
9888331148 1128482359 94371883
55684927 195154981 59748169
8819525361 7614218117 73293139
241798649 664138941 854619722
9716684718 3664657195 253795579
3431191398 9414159725 8345323
4742633341 757873782 42893665
5976897431 6681469458 1532556
5 947566478 61872123
8793878654 8231529123 34617151
136924369 6845534171 1385592
538695647 894877235 85583498
3327525594 1748821684 434778753

light-to-temperature map:
6778296876 1588184826 9373785
5958282911 253795579 867819861
422679395 2761173364 193474551
253795579 4218627316 4
5652112248 987641937 721917256
2349984397 7942568282 71771239
8969933137 5781654773 394652
1898117348 8342374669 537694616
4219243162 8214944547 736996395
5912961492 8868498531 27622883
346958533 4173157962 51979735
1916631453 9117978288 18581458
2945679922 4497199716 5152578
9179535252 5162391577 549347823

temperature-to-humidity map:
7239471736 657945134 92565479
4691325348 8569173453 532754925
5919891224 6397216467 3372871
3822197491 2782624568 698583215
6125121482 639986598 98215788
6574396598 665121945 619454968
2412529992 2776226287 1626339
2272785524 417214458 621918434
5629812155 68588342 911161561
9324482921 2524842229 67458368
5932612196 2357165667 93374591
1274118925 4785728782 685125685
4352611699 7119321598 69449264
6387566129 5474547438 5352628
3928922836 7972535629 916644549
1662726326 6558668448 362791743
836597248 451582864 36438897
738226654 681268313 785154987
9563614959 8661586162 448483715
9984139884 5113486123 19999477
2755987212 2214749752 872249174
887416884 6486692479 38549881

humidity-to-location map:
858893435 311438446 562265762
2454586869 3679665416 225353643
9519322712 63232264 128625398
441771557 9 2371977356
5 8193625898 775413179
1952973915 6235154499 759143921
6572 58451 75391174
6941443142 589862612 261347316
