query,status,failure_phase,rows,rounds,warmup,workers,batch_size,delta_rows,report_sha256,initial_tick_wire_ms,bind_wire_ms,release_wire_ms,update_wire_ms,restore_wire_ms,retire_once_wire_ms
is1,same_plan_checked,,10295,2,1,4,3,0,3928e13e1871badc1a9260465f18a5362439294f5b8571e59d79e05ef93a6b51,13.007,0.246,0.324,0.191,0.186,
is2,digest_only,,2870959,2,1,4,3,1,452eb93e3ef7f0413da4394d9c101209e9fd07e3b52276c83721532bdb4b9732,7744.093,29.928,19.337,7.95,4.412,
is3,same_plan_checked,,183309,2,1,4,3,1,70691a0bb8e020de93a75de9ce032e3066b18b7c4bfd3c328bceed2b1c210002,165.1,1.811,1.588,0.663,0.437,
is4,digest_only,,2860664,2,1,4,3,1,dbb226a4263b33f62c197c28c18a7a73113fc0035ddbc82b5118562b5f281b23,5479.329,0.305,0.269,0.41,0.308,
is5,digest_only,,2870959,2,1,4,3,1,a9c138bbd7c957c98854741b0bd456a162145b62ba65e2c3d82860aba660167b,5339.318,0.357,0.335,3.305,0.284,
is6,digest_only,,2971786,2,1,4,3,1,1ee60566e24314038f30ebd78e45c9d48ec37f315a7b5bb32ecf359a426ab502,6236.04,0.375,0.337,0.45,0.467,
is7,digest_only,,3043973,2,1,4,3,2,1699da83b29044535885fa0fbe0eae99912c8679f49c99de1d65def5d47c4ab0,10042.899,1.103,0.938,0.831,0.529,
ic1,digest_only,,267613,2,1,4,3,1,eb6f5daf425115e29a4ab889ec20c8712dc2e45c3404365579764493818c4086,251.842,58.192,56.001,8.534,6.972,
ic2,digest_only,,3043973,2,1,4,3,2,5f8542baefb63f75b2450919e9733fad1815b10ad7043cd0698e0f358358fbeb,5837.405,1935.691,768.953,303.11,149.76,
ic3,monitor_failure,monitor,3045433,2,1,4,3,2,60a0fe4f81a5eac3ca5fec3b2fe8996b08fb275a677ccbdd5f0047ab54bd9cf4,5978.453,,,,,
ic4,digest_only,,5988117,2,1,4,3,2,0c43e09a866d36913a89da38baca8aaa9b1472692098df782a6d86208d6d0745,6970.932,230.607,228.019,329.228,170.15,
ic5,monitor_failure,monitor,6054568,2,1,4,3,3,145995132a5bdf90465af39cb9e1435bd0aa421f58b101de066a67e6c38d6c9e,6840.347,,,,,
ic6,digest_only,,5988117,2,1,4,3,2,c67461f87669c647fd3d3a60c3b41f9eb081005ff5bd1c8be330cc4ebbcf9e86,7155.398,2789.915,1754.024,1362.788,1161.403,
ic7,digest_only,,4914241,2,1,4,3,3,be5ec0926c2fdb0c56eeddc7ee28d515cfcd438c5bee01a165aa216f7ec1e139,8468.148,25.581,21.01,11.291,6.225,
ic8,digest_only,,2870959,2,1,4,3,1,ebc5c34754a16ff593274d38f0d82a77fb7f4ccbedafc8b00c1483aeda458afe,9748.574,21.804,15.793,9.505,4.89,
ic9,monitor_failure,monitor,3043973,2,1,4,3,2,2e30a215e3e2a435f89945f774fd381e62dcba133157d2c5b41bc8aeac323450,5695.067,,,,,
ic10,digest_only,,6211549,2,1,4,3,2,9ec1bc974c7831acd0f77baeb24a4e7f6ab5f3e1b9656f107b115c1e88a82bca,6804.995,163.917,180.69,245.66,169.76,
ic11,digest_only,,214768,2,1,4,3,1,5c73c84300e032afacc1dbf6226f696411fb5032c0b5ed24d8f6d610eb27f8fb,180.496,36.061,30.639,22.914,14.812,
ic12,monitor_failure,monitor,5988188,2,1,4,3,2,405492e6759b3c30fcdc187dd9a28f309fb2414f4a428d090feee250edb34513,,,,,,
ic13,command_timeout,bind,183309,2,1,4,3,1,4086fa24f09fb471665546f6b4502c58d2c2a750c0a422119652e7ccc787b2b4,162.789,,,,,
ic14,monitor_failure,monitor,3043973,2,1,4,3,2,9bee0922d60480d70747cc5bc3248b83539e8fa42aaff6e86060ca130f3080cc,7877.53,,,,,
bi1,digest_only,,2860664,2,1,4,3,1,41f146eac588eaa5fa922791855fb03a34a70973071657515c5b9b2b3c3bd32e,10806.061,,,504.355,535.339,3046.345
bi2,digest_only,,5804879,2,1,4,3,1,e049e8b477af27e49fe5129f5096ec9239301b1dcce8daf3296a17ab5abf3a84,7715.525,,,0.396,5.653,33.03
bi3,digest_only,,5917461,2,1,4,3,1,00e79aef81e7d353ec3177fd511237a1ed9d90d24eeb2dd9cebc36a6ab6b06c6,8811.926,,,0.611,7.124,52.897
bi4,digest_only,,5883014,2,1,4,3,2,9620ea5d59e559a5473b2599934b8e3194d5f4c56dca87fc6e9acfef4e8381d7,12026.584,,,0.903,9.2,2896.262
bi5,digest_only,,7675076,2,1,4,3,2,58f6f0c4ccb3a786a8c9eca64f57c605185094ac547a68425a229533478c089f,9869.907,,,0.46,13.689,65.126
bi6,digest_only,,7675076,2,1,4,3,2,5142b39b5ee4f1e5c3a2fb12e6fc471ca1221e5d49eb3f058b44697f07c3a205,9860.167,,,2.6,2.307,52.419
bi7,digest_only,,5804808,2,1,4,3,1,f27b2df585bb5a34c2f8e90b439cddbb3e4e7c3fd4942db83ae146be08743332,9904.691,,,0.453,0.399,108.012
bi8,digest_only,,6226169,2,1,4,3,2,391d5bffe708351c50860ffd7748b1d9908fb9d9dec719420ba37d2b97973260,8259.153,,,0.558,2.983,77.265
bi9,command_timeout,retire,2870959,2,1,4,3,1,8273267f4fbcef96cded01bcee4723261c13dd47c8b8032a5311dc6c43070916,16901.301,,,32.958,32.26,
bi10,command_timeout,initial_tick,5989648,2,1,4,3,2,81deaad578edb56ca490d18b6104c4700780e0a60f07974404d8ce7d1e93d0b4,,,,,,
bi11,digest_only,,184769,2,1,4,3,1,52b24940e43342ebe408f4eb1ad9f5c986476bfcc740bc8b22c1e7f28c94be2f,215.776,,,0.363,0.324,46.707
